,0,Illiterate Male,dsf,Illiterate Persons,Literates Population Female,Literates Population Male,Literates Population Person,Main Agricultural Labourers Population Female,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Person,Main Cultivator Population Female,Main Cultivator Population Male,Main Cultivator Population Person,Main Household Industries Population Female,Main Household Industries Population Male,Main Household Industries Population Person,Main Other Workers Population Female,Main Other Workers Population Male,Main Other Workers Population Person,Main Working Population Female,Main Working Population Male,Main Working Population Person,Marginal Agriculture Labourers Population 0_3 Female,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population Female,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3_Female,Marginal Cultivator Population 3_6 Female,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population Female,Marginal Cultivator Population Male,Marginal Cultivator Population Person,Marginal Household Industries Population 0_3 Female,Marginal Household Industries Population 0_3 Male
20,3592,2852,6444,6444,12133,13939.0,26072,129.0,122.0,267.0,4.0,156.0,121.0,656.0,113.0,848.0,3023.0,8654.0,17279,3735.0,8983.0,12138,,,,5.0,25.0,125.0,43.0,49.0,138.0,,,,21.0,11.0,47.0,21.0,13.0,2.0,16.0,12.0
21,6230,4915,11145,11145,18434,22013.0,40447,42.0,214.0,183.0,36.0,87.0,41.0,127.0,534.0,308.0,3558.0,13721.0,18555,2818.0,14236.0,17971,,,,12.0,12.0,20.0,16.0,8.0,19.0,,,,65.0,8.0,51.0,37.0,50.0,12.0,8.0,87.0
22,8001,7224,15225,15225,21552,23706.0,45258,48.0,842.0,385.0,22.0,18.0,80.0,208.0,989.0,133.0,2651.0,15904.0,19369,5044.0,16328.0,19146,,,,21.0,56.0,124.0,74.0,51.0,27.0,,,,8.0,12.0,86.0,66.0,43.0,10.0,7.0,8.0
23,6870,5872,12742,12742,21878,24347.0,46225,138.0,284.0,26.0,34.0,99.0,61.0,55.0,1348.0,244.0,4730.0,14639.0,33341,9926.0,15378.0,20422,,,,16.0,78.0,53.0,29.0,4.0,129.0,,,,44.0,47.0,16.0,8.0,12.0,43.0,20.0,29.0
24,10787,8976,19763,19763,35069,40536.0,75605,29.0,215.0,174.0,104.0,112.0,192.0,38.0,1399.0,350.0,8948.0,24393.0,15534,4148.0,26116.0,36042,,,,1.0,31.0,174.0,17.0,106.0,55.0,,,,71.0,13.0,63.0,44.0,47.0,59.0,1.0,5.0
25,5909,4662,10571,10571,17121,19666.0,36787,70.0,300.0,306.0,218.0,93.0,104.0,97.0,180.0,315.0,3767.0,13714.0,19046,5539.0,12842.0,16990,,,,42.0,63.0,47.0,13.0,3.0,29.0,,,,67.0,28.0,118.0,12.0,7.0,22.0,11.0,0.0
26,4806,3915,8721,8721,20530,22017.0,42547,191.0,103.0,1176.0,13.0,137.0,268.0,103.0,107.0,40.0,5332.0,13101.0,19131,6199.0,14043.0,19582,,,,65.0,48.0,59.0,20.0,139.0,53.0,,,,2.0,73.0,139.0,71.0,28.0,17.0,6.0,27.0
27,5383,4143,9526,9526,17981,19567.0,37548,127.0,192.0,382.0,35.0,555.0,128.0,48.0,134.0,81.0,6030.0,8830.0,12746,4004.0,13448.0,19647,,,,28.0,14.0,56.0,7.0,39.0,180.0,,,,7.0,22.0,56.0,67.0,73.0,50.0,3.0,3.0
28,2924,2311,5235,5235,13844,14509.0,28353,63.0,177.0,313.0,29.0,70.0,77.0,154.0,535.0,897.0,3916.0,12023.0,14590,2726.0,8993.0,12997,,,,18.0,51.0,3.0,35.0,40.0,21.0,,,,46.0,7.0,76.0,7.0,22.0,183.0,9.0,13.0
29,6052,5626,11678,11678,16551,17519.0,34070,51.0,232.0,61.0,43.0,297.0,323.0,204.0,453.0,1285.0,1908.0,10894.0,12802,2041.0,12376.0,15102,,,,20.0,100.0,13.0,10.0,19.0,39.0,,,,4.0,52.0,24.0,16.0,8.0,30.0,,6.0
